y, x, head, bump, ifr, batt
1, 1, 0.0, 0, 0, 1000.0
1, 2, 0.0, 0, 0, 1000.0
1, 3, 0.0, 0, 0, 999.0
1, 4, 0.0, 0, 0, 998.0
1, 5, 0.0, 0, 0, 997.0
1, 6, 0.0, 0, 0, 996.0
1, 7, 0.0, 0, 0, 995.0
1, 8, 0.0, 0, 3, 994.0
1, 8, 0.0, 0, 2, 992.5
1, 8, 0.0, 0, 1, 992.0
1, 8, 0.0, 0, 0, 991.5
1, 9, 0.0, 0, 1, 991.5
1, 9, 0.0, 0, 0, 990.0
1, 10, 0.0, 0, 0, 990.0
1, 11, 0.0, 0, 0, 989.0
1, 12, 0.0, 0, 0, 988.0
1, 13, 0.0, 0, 0, 987.0
1, 14, 0.0, 0, 0, 986.0
1, 15, 0.0, 0, 0, 985.0
1, 16, 0.0, 0, 0, 984.0
1, 17, 0.0, 0, 0, 983.0
1, 18, 0.0, 0, 0, 982.0
1, 19, 0.0, 0, 0, 981.0
1, 20, 0.0, 0, 0, 980.0
1, 21, 0.0, 0, 0, 979.0
1, 22, 0.0, 0, 0, 978.0
1, 23, 0.0, 0, 0, 977.0
1, 24, 0.0, 0, 0, 976.0
1, 25, 0.0, 0, 0, 975.0
1, 26, 0.0, 0, 0, 974.0
1, 27, 0.0, 0, 0, 973.0
1, 28, 0.0, 0, 5, 972.0
1, 28, 0.0, 0, 4, 970.5
1, 28, 0.0, 0, 3, 970.0
1, 28, 0.0, 0, 2, 969.5
1, 28, 0.0, 0, 1, 969.0
1, 28, 0.0, 0, 0, 968.5
1, 29, 0.0, 0, 0, 968.5
1, 30, 0.0, 0, 4, 967.5
1, 30, 0.0, 0, 3, 966.0
1, 30, 0.0, 0, 2, 965.5
1, 30, 0.0, 0, 1, 965.0
1, 30, 0.0, 0, 0, 964.5
1, 31, 0.0, 0, 0, 964.5
1, 32, 0.0, 0, 0, 963.5
1, 33, 0.0, 0, 0, 962.5
1, 34, 0.0, 0, 0, 961.5
1, 35, 0.0, 0, 0, 960.5
1, 36, 0.0, 0, 0, 959.5
1, 37, 0.0, 0, 0, 958.5
1, 38, 0.0, 0, 0, 957.5
1, 39, 0.0, 0, 0, 956.5
1, 40, 0.0, 0, 0, 955.5
1, 41, 0.0, 0, 0, 954.5
1, 42, 0.0, 0, 0, 953.5
1, 43, 0.0, 0, 0, 952.5
1, 44, 0.0, 0, 0, 951.5
1, 45, 0.0, 0, 0, 950.5
1, 46, 0.0, 0, 0, 949.5
1, 47, 0.0, 0, 0, 948.5
1, 48, 0.0, 0, 0, 947.5
1, 48, 4.6, 0, 0, 945.9
1, 48, 155.9, 0, 0, 940.3
1, 47, 155.9, 0, 0, 938.9
2, 46, 155.9, 0, 0, 937.5
2, 45, 155.9, 0, 0, 936.1
3, 44, 155.9, 0, 0, 934.7
3, 43, 155.9, 0, 0, 933.3
3, 42, 155.9, 0, 0, 931.9
4, 41, 155.9, 0, 0, 930.5
4, 40, 155.9, 0, 0, 929.1
5, 39, 155.9, 0, 0, 927.7
5, 38, 155.9, 0, 0, 926.3
5, 38, 155.9, 0, 0, 924.9
6, 37, 155.9, 0, 3, 923.5
6, 37, 155.9, 0, 2, 921.6
6, 37, 155.9, 0, 1, 921.1
6, 37, 155.9, 0, 0, 920.6
6, 36, 155.9, 0, 0, 920.6
7, 35, 155.9, 0, 0, 919.2
7, 34, 155.9, 0, 0, 917.8
8, 33, 155.9, 0, 0, 916.4
8, 32, 155.9, 0, 0, 915.0
8, 31, 155.9, 0, 0, 913.6
9, 30, 155.9, 0, 0, 912.2
9, 29, 155.9, 0, 0, 910.8
10, 28, 155.9, 0, 0, 909.4
10, 28, 155.9, 0, 0, 908.0
10, 27, 155.9, 0, 0, 906.6
11, 26, 155.9, 0, 0, 905.2
11, 25, 155.9, 0, 0, 903.8
12, 24, 155.9, 0, 0, 902.4
12, 23, 155.9, 0, 0, 901.0
12, 22, 155.9, 0, 1, 899.6
12, 22, 155.9, 0, 0, 897.7
13, 21, 155.9, 0, 0, 897.7
13, 20, 155.9, 0, 0, 896.3
14, 19, 155.9, 0, 1, 894.9
14, 19, 155.9, 0, 0, 893.0
14, 18, 155.9, 0, 0, 893.0
